,Job ID,Work Location,latitude,longitude
5019,681550,30-30 Thomson Ave L I City Qns,,
5020,590922,55 Water St Ny Ny,40.7032255,-74.00906706900255
5021,583051,55 Water St Ny Ny,40.7032255,-74.00906706900255
5022,687852,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5023,629512,4 World Trade Center,40.7102861,-74.01198503932034
5024,638945,55 Water St Ny Ny,40.7032255,-74.00906706900255
5025,638905,42-09 28th Street,40.7493714,-73.93892728315782
5026,630626,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
5027,555398,55 Water St Ny Ny,40.7032255,-74.00906706900255
5028,631805,"1 Police Plaza, N.Y.",40.71220750000001,-74.00170824865675
5029,640878,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5030,644624,4 World Trade Center,40.7102861,-74.01198503932034
5031,631283,NYC - All Boroughs,,
5032,682542,30-30 47TH AVE,40.74226485,-73.93643212657696
5033,610918,4 World Trade Center,40.7102861,-74.01198503932034
5034,598337,55 Water St Ny Ny,40.7032255,-74.00906706900255
5035,683031,"1650 Selwyn Ave, Bronx",40.8436155,-73.910255
5036,639778,96-05 Horace Harding Expway,,
5037,623221,4 World Trade Center,40.7102861,-74.01198503932034
5038,683072,"120 Broadway, New York, NY",40.7082035,-74.01050652677372
5039,686751,9 Bond Street,51.5124609,-0.3058469
5040,614502,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
5041,685795,"100 Church St., N.Y.",,
5042,683010,"100 Church St., N.Y.",,
5043,646416,92-31 Union Hall St. Jamaica N,40.7037876,-73.7975015
5044,634790,5 Manhattan West,40.7530239,-73.99951380079614
5045,685109,255 Greenwich Street,40.7145279,-74.0112651
5046,619571,890 Garrison Avenue,40.8171325,-73.8912149
5047,686997,Heating Mgt-Operations,,
5048,625614,"1826 Arthur Ave., Bronx",40.84407634999999,-73.89415404648156
5049,683960,96-05 Horace Harding Expway,,
5050,613086,34-02 Queens Boulevard Long Is,,
5051,647695,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
5052,633185,55 Water St Ny Ny,40.7032255,-74.00906706900255
5053,609635,30-30 Thomson Ave L I City Qns,,
5054,625487,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5055,681160,4 World Trade Center,40.7102861,-74.01198503932034
5056,632641,4 World Trade Center,40.7102861,-74.01198503932034
5057,562517,55 Water St Ny Ny,40.7032255,-74.00906706900255
5058,545805,96-05 Horace Harding Expway,,
5059,582550,150-20 134 St. Jamaica Queens,38.95634347182327,-76.99151584666023
5060,570867,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5061,689681,"303 9Th Ave., N.Y.",40.7495831,-73.99981108703705
5062,556927,"Wards Island, N.Y.",40.7876012,-73.9254149
5063,638271,42-09 28th Street,40.7493714,-73.93892728315782
5064,632285,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
5065,620849,75-20 Astoria Blvd,40.76463665,-73.89316259529446
5066,684640,"455 First Ave., N.Y.",42.95370207856617,-74.29023999019816
5067,636907,Manhattan Floating Staff,,
5068,645146,30-30 Thomson Ave L I City Qns,,
5069,628807,"520 1St Ave., N.Y.",40.9204798,-73.8087058
5070,684409,"1 Hogan Pl./100 Centre St., N.",,
5071,639577,96-05 Horace Harding Expway,,
5072,683475,30-30 Thomson Ave L I City Qns,,
5073,638662,55 Water St Ny Ny,40.7032255,-74.00906706900255
5074,540078,375 Pearl Street,,
5075,604584,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
5076,688691,100 Gold Street,40.71015435,-74.00323001164281
5077,686482,42-09 28th Street,40.7493714,-73.93892728315782
5078,631948,34-02 Queens Boulevard Long Is,,
5079,682364,"33 Beaver St, New York Ny",40.7050695,-74.0120653
5080,533056,"Hazen St-A.M.K.C., E. Elm, Ny",43.12574672780561,-77.61944362274448
5081,597818,"100 Church St., N.Y.",,
5082,621129,4 World Trade Center,40.7102861,-74.01198503932034
5083,595183,96-05 Horace Harding Expway,,
5084,642195,"2 Lafayette St., N.Y.",40.71403805,-74.00376405182158
5085,687704,55 Water St Ny Ny,40.7032255,-74.00906706900255
5086,647690,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
5087,623957,"32-20 Northern Blvd, L.I.C. Ny",,
5088,679854,155 West Broadway New York N Y,,
5089,688675,30-30 Thomson Ave L I City Qns,,
5090,681998,1932 Arthur Ave 2Nd Flr Bronx,,
5091,638597,"215 E 161St St., Bronx",40.826272,-73.920374
5092,688764,"100 Church St., N.Y.",,
5093,640557,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
5094,534939,"7870 State Rd 42 Grahamsville,",,
5095,632052,"1932 Arthur Ave, Bronx",40.8460262,-73.892832
5096,647451,30-30 Thomson Ave L I City Qns,,
5097,640671,"1270 Victory Blvd, Staten Isl",,
5098,582939,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5099,648368,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5100,683080,"42 Broadway, N.Y.",40.7062155,-74.0127703
5101,631966,15 Metrotech,40.69303407446808,-73.98701461702129
5102,596861,96-05 Horace Harding Expway,,
5103,599506,96-05 Horace Harding Expway,,
5104,634144,96-05 Horace Harding Expway,,
5105,643175,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5106,679706,"42 Broadway, N.Y.",40.7062155,-74.0127703
5107,630711,4 World Trade Center,40.7102861,-74.01198503932034
5108,580422,"33 Beaver St, New York Ny",40.7050695,-74.0120653
5109,642647,"2 Lafayette St., N.Y.",40.71403805,-74.00376405182158
5110,632616,"100 Church St., N.Y.",,
5111,689725,"94 Old Broadway, Ny",40.818003,-73.9555992
5112,626608,4 World Trade Center,40.7102861,-74.01198503932034
5113,592999,"1601 Ave. S, Brooklyn",40.6038452,-73.9561526673943
5114,643029,253 Broadway New York Ny,41.5003214,-74.018638
5115,684589,"455 First Ave., N.Y.",42.95370207856617,-74.29023999019816
5116,639073,15 Metrotech,40.69303407446808,-73.98701461702129
5117,626266,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
5118,636641,"Hazen St-A.M.K.C., E. Elm, Ny",43.12574672780561,-77.61944362274448
5119,682370,"851 Grand Concourse, Bronx",40.8261521,-73.9234669
5120,554148,96-05 Horace Harding Expway,,
5121,602078,"259 Bristol St., Brooklyn",40.6646931,-73.91110956847632
5122,632726,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5123,638394,"33 Beaver St, New York Ny",40.7050695,-74.0120653
5124,645515,421 East 26th Street NY NY,40.73907695,-73.97508106543111
5125,687653,42-09 28th Street,40.7493714,-73.93892728315782
5126,623428,30-30 Thomson Ave L I City Qns,,
5127,687759,30-30 47TH AVE,40.74226485,-73.93643212657696
5128,687667,A&CM Engineering Audit,,
5129,561334,96-05 Horace Harding Expway,,
5130,683280,"455 First Ave., N.Y.",42.95370207856617,-74.29023999019816
5131,582773,96-05 Horace Harding Expway,,
5132,635968,42-09 28th Street,40.7493714,-73.93892728315782
5133,561606,"10 Walker Rd, Valhalla NY10595",,
5134,689458,"125 Worth Street, Nyc",40.7154759,-74.0024952
5135,686482,42-09 28th Street,40.7493714,-73.93892728315782
5136,593243,30-30 Thomson Ave L I City Qns,,
5137,642632,55 Water St Ny Ny,40.7032255,-74.00906706900255
5138,625487,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5139,686098,"42 Broadway, N.Y.",40.7062155,-74.0127703
5140,605236,96-05 Horace Harding Expway,,
5141,644012,30-30 Thomson Ave L I City Qns,,
5142,554402,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5143,687021,"2 Lafayette St., N.Y.",40.71403805,-74.00376405182158
5144,637671,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
5145,632632,96-05 Horace Harding Expway,,
5146,650000,421 East 26th Street NY NY,40.73907695,-73.97508106543111
5147,622548,4 World Trade Center,40.7102861,-74.01198503932034
5148,638912,30-30 Thomson Ave L I City Qns,,
